State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,Meerut,2004,Kharif,Groundnut,2054.2,2896.1
Karnataka,Mysore,2001,Whole Year,Potato,1551.3,28469.2
Haryana,Karnal,2005,Kharif,Maize,4707.4,9404.3
Madhya Pradesh,Ujjain,2012,Kharif,Groundnut,4854.5,6030.2
West Bengal,Bardhaman,2001,Rabi,Mustard,1704.8,2921.8
Punjab,Patiala,2011,Kharif,Maize,2101.2,8244.7
Andhra Pradesh,Guntur,2006,Rabi,Potato,1397.1,31690.1
Karnataka,Hassan,2005,Whole Year,Banana,2247.0,76449.9
Karnataka,Hassan,2005,Whole Year,Sugarcane,2561.2,152263.1
Karnataka,Hassan,2001,Whole Year,Banana,1538.6,46059.1
Maharashtra,Pune,2001,Rabi,Onion,8308.4,155991.5
Punjab,Amritsar,2002,Rabi,Wheat,1829.0,6854.1
West Bengal,Nadia,2005,Kharif,Soyabean,3514.6,5280.1
Tamil Nadu,Thanjavur,2010,Rabi,Gram,1378.4,1262.4
Madhya Pradesh,Indore,2012,Rabi,Maize,7080.8,19254.6
Punjab,Ludhiana,2012,Whole Year,Rice,3585.5,12122.5
Uttar Pradesh,Kanpur,2007,Kharif,Bajra,1469.7,1628.3
Andhra Pradesh,Krishna,2008,Rabi,Wheat,2313.7,8388.3
Madhya Pradesh,Ujjain,2013,Rabi,Maize,3253.3,7687.4
Maharashtra,Pune,2003,Kharif,Maize,1682.5,5090.6
Uttar Pradesh,Meerut,2001,Rabi,Wheat,2656.3,7005.5
Madhya Pradesh,Ujjain,2003,Kharif,Soyabean,2271.7,2755.7
Madhya Pradesh,Bhopal,2011,Rabi,Potato,2321.8,73065.6
Bihar,Patna,2002,Whole Year,Rice,5863.7,16787.4
Maharashtra,Nashik,2004,Whole Year,Rice,2700.7,10514.5
West Bengal,Bardhaman,2012,Kharif,Tur,1836.3,1855.8
Bihar,Bhagalpur,2013,Rabi,Gram,512.2,472.3
Tamil Nadu,Thanjavur,2006,Whole Year,Potato,3855.3,69316.2
West Bengal,Nadia,2013,Whole Year,Potato,3203.2,73654.3
Punjab,Patiala,2014,Whole Year,Rice,3083.6,9662.0
Karnataka,Hassan,2002,Rabi,Gram,3374.3,2400.2
Haryana,Rohtak,2008,Whole Year,Potato,6800.1,112473.4
Madhya Pradesh,Indore,2001,Whole Year,Rice,8428.0,28270.8
Uttar Pradesh,Meerut,2002,Rabi,Onion,2739.8,35191.7
Tamil Nadu,Thanjavur,2004,Rabi,Gram,985.1,876.2
Haryana,Karnal,2006,Rabi,Wheat,4618.5,10112.6
Punjab,Patiala,2014,Kharif,Maize,6419.8,20683.0
Punjab,Amritsar,2003,Kharif,Cotton,850.8,432.3
Andhra Pradesh,Nellore,2012,Rabi,Groundnut,704.1,1079.6
Uttar Pradesh,Meerut,2012,Whole Year,Sugarcane,2050.7,158667.0
Karnataka,Hassan,2003,Rabi,Jowar,881.8,506.2
West Bengal,Hooghly,2009,Kharif,Onion,5024.6,86105.6
Andhra Pradesh,Guntur,2002,Whole Year,Banana,4087.2,198413.2
Punjab,Amritsar,2008,Rabi,Onion,3320.3,56107.5
Karnataka,Hassan,2013,Kharif,Maize,3060.7,6071.1
Uttar Pradesh,Meerut,2010,Whole Year,Rice,1291.1,3744.9
Karnataka,Belgaum,2009,Kharif,Cotton,2588.4,1246.6
Bihar,Bhagalpur,2001,Whole Year,Sugarcane,5168.2,275311.0
Punjab,Ludhiana,2007,Rabi,Gram,3744.5,4074.7
Uttar Pradesh,Meerut,2002,Rabi,Gram,3118.8,2600.3
Madhya Pradesh,Ujjain,2010,Rabi,Onion,3948.3,50460.6
Tamil Nadu,Coimbatore,2013,Kharif,Bajra,2324.0,1988.0
West Bengal,Hooghly,2010,Rabi,Maize,9723.8,25463.2
Uttar Pradesh,Meerut,2014,Kharif,Maize,8555.6,24339.4
Madhya Pradesh,Indore,2003,Kharif,Maize,3609.4,10278.7
Maharashtra,Nashik,2001,Kharif,Soyabean,7841.1,11917.2
Maharashtra,Nagpur,2012,Rabi,Groundnut,1639.7,2045.1
Karnataka,Hassan,2012,Kharif,Cotton,6739.6,1794.8
Tamil Nadu,Coimbatore,2014,Kharif,Bajra,4339.7,5194.3
Bihar,Bhagalpur,2005,Kharif,Rice,5646.0,13782.4
Tamil Nadu,Coimbatore,2013,Rabi,Maize,2395.6,7149.3
Punjab,Amritsar,2002,Kharif,Bajra,5564.3,10526.4
Tamil Nadu,Coimbatore,2002,Kharif,Maize,2016.2,4644.8
Tamil Nadu,Coimbatore,2010,Whole Year,Rice,1676.6,4114.2
Madhya Pradesh,Ujjain,2008,Kharif,Tur,4285.0,3015.1
Bihar,Bhagalpur,2003,Rabi,Mustard,3293.6,3924.3
Tamil Nadu,Coimbatore,2004,Rabi,Gram,2538.0,
Haryana,Hisar,2007,Rabi,Onion,6501.9,66421.4
Madhya Pradesh,Indore,2002,Whole Year,Sugarcane,,193382.8
Karnataka,Hassan,2002,Kharif,Tur,1534.6,942.3
Tamil Nadu,Thanjavur,2008,Kharif,Groundnut,6464.8,5978.7
Madhya Pradesh,Ujjain,2008,Whole Year,Sugarcane,8417.0,576501.7
Madhya Pradesh,Indore,2003,Rabi,Jowar,1062.4,891.6
Andhra Pradesh,Nellore,2010,Rabi,Potato,2435.2,42425.3
Uttar Pradesh,Kanpur,2007,Kharif,Onion,6949.1,89907.4
Madhya Pradesh,Bhopal,2004,Rabi,Groundnut,2676.4,2952.2
West Bengal,Hooghly,2007,Rabi,Onion,2258.4,29008.3
Punjab,Amritsar,2009,Rabi,Jowar,4449.5,4154.4
Uttar Pradesh,Meerut,2009,Kharif,Soyabean,3868.1,4969.6
Punjab,Ludhiana,2006,Kharif,Groundnut,2529.1,4047.0
Haryana,Rohtak,2004,Rabi,Gram,2498.1,2009.5
Maharashtra,Nagpur,2004,Rabi,Mustard,957.2,1342.8
Uttar Pradesh,Kanpur,2008,Kharif,Tur,2219.9,
Karnataka,Mysore,2002,Rabi,Maize,3704.5,11014.3
West Bengal,Hooghly,2013,Kharif,Rice,5381.4,18138.3
Maharashtra,Nagpur,2011,Rabi,Mustard,9156.5,16170.5
Tamil Nadu,Coimbatore,2009,Kharif,Tur,4812.2,3645.9
Karnataka,Mysore,2011,Kharif,Groundnut,960.9,1018.5
West Bengal,Hooghly,2006,Kharif,Bajra,4062.1,5478.6
Uttar Pradesh,Lucknow,2006,Rabi,Groundnut,2224.3,2122.6
Tamil Nadu,Coimbatore,2006,Kharif,Groundnut,2892.5,3534.7
Haryana,Karnal,2002,Rabi,Wheat,4278.5,11030.6
Tamil Nadu,Thanjavur,2007,Rabi,Mustard,4613.6,6392.3
Tamil Nadu,Thanjavur,2010,Whole Year,Rice,5404.2,14176.2
Karnataka,Hassan,2008,Rabi,Mustard,3984.5,5816.1
Madhya Pradesh,Indore,2010,Kharif,Onion,681.9,
Uttar Pradesh,Kanpur,2011,Rabi,Onion,2634.2,18982.6
Maharashtra,Nagpur,2008,Kharif,Cotton,3712.3,
Punjab,Patiala,2012,Rabi,Onion,1404.2,35641.1
Andhra Pradesh,Krishna,2014,Whole Year,Rice,1994.6,5770.2
Punjab,Patiala,2007,Rabi,Gram,4059.5,5307.3
Madhya Pradesh,Ujjain,2010,Rabi,Maize,3943.2,10986.4
Maharashtra,Nagpur,2014,Kharif,Bajra,6244.2,10555.9
Tamil Nadu,Salem,2008,Kharif,Tur,2429.0,1504.3
Andhra Pradesh,Krishna,2005,Kharif,Rice,4212.6,12457.5
Uttar Pradesh,Meerut,2001,Rabi,Onion,3635.4,59827.1
Maharashtra,Nagpur,2012,Kharif,Rice,3006.8,9718.1
Haryana,Rohtak,2013,Rabi,Wheat,4488.7,15635.4
Karnataka,Hassan,2013,Whole Year,Banana,1753.3,62325.7
Karnataka,Mysore,2005,Rabi,Onion,2961.8,34104.7
Andhra Pradesh,Guntur,2004,Rabi,Jowar,3527.7,3690.9
Maharashtra,Nagpur,2009,Whole Year,Potato,967.7,22589.2
West Bengal,Hooghly,2005,Whole Year,Potato,1600.9,34041.4
Andhra Pradesh,Guntur,2004,Kharif,Maize,3280.0,10835.0
Madhya Pradesh,Bhopal,2008,Kharif,Tur,2776.2,2744.3
Punjab,Ludhiana,2009,Kharif,Onion,1364.0,25997.2
Maharashtra,Nagpur,2013,Kharif,Groundnut,9606.1,14462.5
Andhra Pradesh,Nellore,2004,Kharif,Groundnut,1849.0,
Madhya Pradesh,Ujjain,2003,Whole Year,Sugarcane,1482.1,110691.5
Andhra Pradesh,Krishna,2013,Rabi,Onion,7678.6,111517.9
Bihar,Gaya,2007,Kharif,Cotton,7164.1,3961.2
West Bengal,Hooghly,2009,Rabi,Jowar,2222.9,2967.2
Andhra Pradesh,Nellore,2012,Kharif,Soyabean,4294.0,7120.7
Karnataka,Hassan,2004,Kharif,Tur,1364.6,1176.2
Karnataka,Mysore,2005,Kharif,Groundnut,2793.1,2325.2
Punjab,Amritsar,2010,Rabi,Wheat,2158.7,7416.2
Punjab,Ludhiana,2010,Kharif,Groundnut,2098.4,3263.4
Punjab,Ludhiana,2002,Rabi,Potato,3557.8,65954.3
Karnataka,Mysore,2009,Kharif,Tur,3348.1,2250.6
Karnataka,Mysore,2014,Kharif,Groundnut,3984.8,3891.7
West Bengal,Bardhaman,2005,Whole Year,Banana,4948.0,139596.9
Bihar,Patna,2006,Rabi,Gram,3955.5,4291.2
Bihar,Patna,2005,Kharif,Cotton,2615.7,1434.1
Karnataka,Mysore,2010,Kharif,Maize,1676.4,4450.7
West Bengal,Hooghly,2010,Kharif,Tur,2355.7,2203.3
Maharashtra,Nashik,2004,Rabi,Jowar,1671.1,2480.5
Uttar Pradesh,Lucknow,2004,Kharif,Bajra,1769.6,1832.8
Haryana,Hisar,2011,Kharif,Onion,2777.7,41272.7
Uttar Pradesh,Kanpur,2005,Whole Year,Sugarcane,4537.1,329966.2
Bihar,Gaya,2008,Rabi,Mustard,3001.5,4236.2
Uttar Pradesh,Meerut,2003,Whole Year,Sugarcane,1225.0,78539.8
Bihar,Gaya,2010,Kharif,Bajra,1968.8,2998.8
Uttar Pradesh,Meerut,2007,Rabi,Onion,2877.7,
Maharashtra,Pune,2014,Kharif,Maize,4264.5,13877.4
Andhra Pradesh,Nellore,2004,Rabi,Groundnut,3197.5,5816.3
Punjab,Patiala,2008,Rabi,Wheat,5843.4,24340.5
Bihar,Patna,2003,Rabi,Onion,1921.6,28574.6
Bihar,Patna,2003,Whole Year,Rice,938.0,2558.6
Uttar Pradesh,Kanpur,2006,Kharif,Bajra,3404.4,5044.1
Bihar,Bhagalpur,2014,Rabi,Potato,3053.0,62105.3
Tamil Nadu,Thanjavur,2001,Whole Year,Sugarcane,2700.1,
Haryana,Rohtak,2001,Kharif,Bajra,4509.1,4788.8
Karnataka,Hassan,2007,Rabi,Wheat,4270.8,11155.7
West Bengal,Hooghly,2008,Kharif,Tur,3062.5,2612.2
Bihar,Gaya,2013,Kharif,Soyabean,6235.1,7662.1
Bihar,Patna,2004,Whole Year,Rice,2297.4,5669.4
West Bengal,Hooghly,2006,Kharif,Groundnut,2715.8,3830.8
Maharashtra,Pune,2001,Rabi,Mustard,3593.5,4710.5
Andhra Pradesh,Nellore,2002,Rabi,Onion,2943.0,42569.1
Punjab,Amritsar,2009,Kharif,Groundnut,2289.1,3020.1
West Bengal,Bardhaman,2011,Rabi,Jowar,4823.3,3356.9
Maharashtra,Nashik,2008,Kharif,Soyabean,2020.3,2498.9
Haryana,Rohtak,2004,Rabi,Jowar,5507.5,5838.5
Karnataka,Mysore,2009,Rabi,Potato,2693.0,
Madhya Pradesh,Indore,2005,Whole Year,Rice,6054.3,20282.8
Bihar,Bhagalpur,2011,Kharif,Maize,643.0,1696.9
Andhra Pradesh,Nellore,2008,Rabi,Mustard,4769.5,9073.9
Karnataka,Hassan,2011,Whole Year,Banana,2286.5,58582.1
Andhra Pradesh,Guntur,2010,Kharif,Maize,1004.3,3917.9
Uttar Pradesh,Kanpur,2013,Kharif,Cotton,2125.9,857.3
Maharashtra,Nashik,2010,Kharif,Rice,5412.4,17940.7
Tamil Nadu,Thanjavur,2014,Kharif,Jowar,1888.9,2659.8
Karnataka,Mysore,2009,Kharif,Soyabean,2322.9,
Maharashtra,Nagpur,2010,Rabi,Potato,1939.1,37136.1
Karnataka,Hassan,2011,Kharif,Groundnut,3330.1,3265.6
Punjab,Amritsar,2006,Rabi,Maize,3409.4,9801.7
Punjab,Ludhiana,2014,Kharif,Onion,1703.1,29264.4
Bihar,Gaya,2011,Kharif,Cotton,6780.0,2470.1
West Bengal,Nadia,2013,Kharif,Bajra,2319.3,3706.2
Madhya Pradesh,Indore,2012,Kharif,Rice,6745.5,22502.4
Bihar,Gaya,2012,Kharif,Soyabean,636.6,510.3
West Bengal,Hooghly,2012,Whole Year,Potato,2932.1,83195.7
Uttar Pradesh,Kanpur,2005,Kharif,Jowar,4749.5,4186.4
Andhra Pradesh,Krishna,2011,Whole Year,Rice,4621.5,13822.4
Karnataka,Belgaum,2013,Rabi,Groundnut,2204.4,3152.9
Bihar,Bhagalpur,2006,Rabi,Potato,3843.8,88584.1
Karnataka,Hassan,2012,Rabi,Jowar,2559.3,2413.5
Andhra Pradesh,Nellore,2010,Kharif,Onion,4296.3,93345.3
Karnataka,Hassan,2007,Kharif,Maize,2097.1,5092.0
Haryana,Hisar,2001,Rabi,Mustard,4230.1,4033.6
Tamil Nadu,Salem,2009,Kharif,Jowar,2017.7,2355.0
Andhra Pradesh,Krishna,2010,Whole Year,Sugarcane,4628.9,321171.7
Karnataka,Mysore,2005,Rabi,Jowar,4877.1,4180.3
Andhra Pradesh,Krishna,2006,Rabi,Wheat,5747.1,18409.1
Bihar,Bhagalpur,2002,Rabi,Jowar,1639.7,2146.7
Punjab,Ludhiana,2010,Kharif,Tur,1449.1,1343.7
Madhya Pradesh,Indore,2012,Rabi,Groundnut,6568.0,8203.5
Tamil Nadu,Salem,2007,Rabi,Onion,2767.6,42212.3
Karnataka,Belgaum,2002,Kharif,Tur,1104.9,981.3
Andhra Pradesh,Nellore,2007,Kharif,Bajra,9358.4,13587.2
Maharashtra,Nagpur,2004,Whole Year,Rice,5975.6,17603.9
West Bengal,Hooghly,2011,Whole Year,Sugarcane,3220.2,287736.1
Uttar Pradesh,Kanpur,2011,Kharif,Cotton,1235.4,598.5
Uttar Pradesh,Lucknow,2011,Kharif,Cotton,899.6,451.5
Madhya Pradesh,Ujjain,2014,Whole Year,Banana,2546.1,85498.6
Tamil Nadu,Thanjavur,2003,Rabi,Mustard,1760.4,2070.3
Madhya Pradesh,Ujjain,2005,Kharif,Maize,1631.0,4529.6
Haryana,Hisar,2009,Kharif,Soyabean,1581.0,1517.5
Bihar,Bhagalpur,2006,Kharif,Tur,2216.7,1792.1
Karnataka,Hassan,2001,Kharif,Jowar,3805.2,3513.4
Maharashtra,Nashik,2014,Rabi,Mustard,4780.1,9480.5
Uttar Pradesh,Meerut,2008,Rabi,Jowar,3230.1,2353.4
Tamil Nadu,Salem,2002,Whole Year,Potato,4169.3,75426.0
Uttar Pradesh,Kanpur,2004,Rabi,Mustard,6076.4,5972.1
Karnataka,Belgaum,2006,Rabi,Potato,2714.7,60377.7
West Bengal,Hooghly,2004,Kharif,Maize,613.3,1892.7
Uttar Pradesh,Lucknow,2012,Rabi,Wheat,2916.3,8015.7
Madhya Pradesh,Ujjain,2013,Kharif,Soyabean,1198.9,1295.3
Maharashtra,Nagpur,2010,Kharif,Groundnut,2010.0,3330.6
Tamil Nadu,Thanjavur,2001,Kharif,Cotton,5174.4,2437.1
Madhya Pradesh,Bhopal,2005,Rabi,Jowar,1737.9,1638.8
Madhya Pradesh,Indore,2012,Kharif,Groundnut,2117.1,3408.6
Haryana,Karnal,2006,Kharif,Onion,3241.6,59677.4
West Bengal,Hooghly,2004,Whole Year,Potato,2149.0,46282.9
Karnataka,Belgaum,2006,Whole Year,Potato,2203.3,39380.4
Karnataka,Mysore,2009,Rabi,Gram,6971.2,5628.9
Tamil Nadu,Salem,2010,Kharif,Onion,7183.0,64934.5
West Bengal,Nadia,2001,Rabi,Potato,2438.3,47910.1
Tamil Nadu,Thanjavur,2001,Rabi,Jowar,4840.4,4096.8
Bihar,Gaya,2003,Kharif,Cotton,799.3,384.1
Madhya Pradesh,Bhopal,2002,Rabi,Gram,3385.6,3513.2
Karnataka,Hassan,2002,Rabi,Wheat,2180.8,6853.7
Punjab,Ludhiana,2005,Rabi,Maize,4088.8,11143.6
Andhra Pradesh,Krishna,2008,Kharif,Tur,3664.8,3843.0
Madhya Pradesh,Bhopal,2003,Rabi,Jowar,1291.8,1317.5
Tamil Nadu,Salem,2009,Kharif,Maize,3406.0,6888.0
Uttar Pradesh,Lucknow,2004,Kharif,Rice,6768.5,20182.0
Karnataka,Belgaum,2012,Kharif,Jowar,4140.4,2813.2
Punjab,Patiala,2009,Kharif,Maize,5499.8,17638.6
Andhra Pradesh,Nellore,2009,Whole Year,Rice,2584.7,9524.8
Punjab,Patiala,2009,Rabi,Maize,3585.4,12493.6
West Bengal,Bardhaman,2007,Kharif,Bajra,6083.0,8172.3
Tamil Nadu,Thanjavur,2004,Whole Year,Potato,2759.9,60838.6
Bihar,Patna,2004,Kharif,Cotton,1638.6,737.6
Maharashtra,Pune,2006,Rabi,Gram,6137.3,5596.1
West Bengal,Hooghly,2006,Kharif,Onion,2527.2,41865.1
Karnataka,Mysore,2003,Kharif,Rice,4018.8,9881.6
Madhya Pradesh,Indore,2007,Rabi,Mustard,2135.5,4122.6
Madhya Pradesh,Indore,2005,Kharif,Jowar,2176.1,2854.2
Maharashtra,Nagpur,2013,Whole Year,Rice,738.2,2679.6
Andhra Pradesh,Krishna,2010,Kharif,Tur,882.0,860.9
Tamil Nadu,Coimbatore,2001,Kharif,Jowar,4225.1,3006.0
Karnataka,Mysore,2011,Rabi,Onion,3301.1,59659.2
Maharashtra,Nagpur,2001,Rabi,Onion,3535.6,48452.4
Haryana,Hisar,2011,Kharif,Tur,972.0,669.5
Karnataka,Belgaum,2014,Kharif,Tur,,2439.9
Tamil Nadu,Coimbatore,2013,Rabi,Gram,2170.8,1608.9
Uttar Pradesh,Meerut,2010,Rabi,Wheat,3066.9,8817.5
Tamil Nadu,Salem,2008,Kharif,Bajra,719.2,887.4
Uttar Pradesh,Kanpur,2001,Rabi,Gram,4102.1,3217.0
Punjab,Amritsar,2008,Kharif,Jowar,821.2,791.1
Haryana,Rohtak,2010,Rabi,Groundnut,2754.9,3696.4
Karnataka,Mysore,2005,Kharif,Bajra,2740.2,2501.9
Madhya Pradesh,Indore,2007,Rabi,Gram,2485.9,2636.6
Punjab,Patiala,2013,Rabi,Onion,1377.8,32220.0
Karnataka,Mysore,2012,Kharif,Tur,2553.1,1960.7
Punjab,Ludhiana,2002,Whole Year,Potato,1525.5,33692.2
Tamil Nadu,Coimbatore,2013,Whole Year,Rice,4346.2,11073.1
Maharashtra,Pune,2011,Kharif,Bajra,2304.1,4259.8
Andhra Pradesh,Guntur,2012,Kharif,Maize,1284.5,4321.8
Andhra Pradesh,Nellore,2001,Rabi,Jowar,4756.4,6262.1
Maharashtra,Nagpur,2014,Kharif,Rice,8063.9,31883.1
Madhya Pradesh,Indore,2007,Kharif,Onion,1342.5,13073.8
Bihar,Gaya,2002,Rabi,Groundnut,3649.7,6451.7
West Bengal,Nadia,2009,Whole Year,Potato,2111.3,47841.5
Haryana,Karnal,2007,Rabi,Jowar,1616.8,1137.1
Maharashtra,Pune,2005,Kharif,Maize,7483.6,25007.0
Bihar,Gaya,2013,Rabi,Wheat,9498.8,30671.4
West Bengal,Hooghly,2013,Whole Year,Potato,5944.4,133766.7
Karnataka,Mysore,2003,Kharif,Tur,3098.2,3198.3
Andhra Pradesh,Nellore,2003,Rabi,Groundnut,3299.4,4728.3
Andhra Pradesh,Krishna,2012,Kharif,Rice,6458.8,20460.7
Maharashtra,Pune,2013,Kharif,Soyabean,694.9,1062.6
Uttar Pradesh,Kanpur,2011,Kharif,Bajra,1074.6,1209.1
Andhra Pradesh,Nellore,2008,Kharif,Jowar,2990.8,4174.4
Punjab,Amritsar,2011,Kharif,Soyabean,4211.5,5116.0
Uttar Pradesh,Meerut,2008,Kharif,Tur,1490.7,1255.4
Punjab,Amritsar,2004,Kharif,Tur,1143.1,944.7
Punjab,Ludhiana,2005,Rabi,Groundnut,1199.3,1725.9
Punjab,Ludhiana,2007,Whole Year,Potato,3701.5,52255.4
Bihar,Patna,2002,Whole Year,Sugarcane,2084.7,146006.4
West Bengal,Nadia,2005,Kharif,Bajra,3732.1,6012.6
Haryana,Rohtak,2007,Rabi,Wheat,1373.9,4368.0
Bihar,Patna,2006,Kharif,Groundnut,1409.5,1426.6
Karnataka,Mysore,2012,Whole Year,Potato,4087.4,83698.4
Tamil Nadu,Salem,2013,Whole Year,Banana,999.2,29303.9
Tamil Nadu,Coimbatore,2005,Rabi,Onion,1721.0,24818.2
Punjab,Ludhiana,2013,Whole Year,Potato,3154.2,59415.4
West Bengal,Nadia,2005,Whole Year,Banana,1606.9,66668.3
Maharashtra,Pune,2004,Rabi,Gram,2110.0,2012.1
Andhra Pradesh,Nellore,2009,Rabi,Potato,1446.7,34253.4
Punjab,Amritsar,2011,Kharif,Tur,5996.3,4530.0
Andhra Pradesh,Guntur,2004,Rabi,Maize,4519.8,13495.9
Karnataka,Mysore,2004,Kharif,Jowar,3177.9,3602.0
Maharashtra,Pune,2011,Rabi,Gram,1304.3,1526.3
Maharashtra,Pune,2006,Rabi,Groundnut,2551.0,4298.6
Bihar,Bhagalpur,2011,Kharif,Tur,1821.7,1635.6
Madhya Pradesh,Indore,2001,Kharif,Soyabean,4043.4,5564.8
Punjab,Ludhiana,2012,Kharif,Maize,3185.3,8529.2
Bihar,Gaya,2011,Whole Year,Rice,1840.8,6162.1
Karnataka,Belgaum,2007,Rabi,Mustard,5561.2,7607.8
Karnataka,Belgaum,2004,Rabi,Gram,4031.8,4620.2
Karnataka,Hassan,2004,Rabi,Mustard,2510.1,3854.6
Madhya Pradesh,Indore,2001,Kharif,Rice,4124.3,11499.8
Uttar Pradesh,Lucknow,2013,Rabi,Mustard,4706.7,8293.7
Haryana,Hisar,2001,Kharif,Soyabean,4595.9,4545.8
Punjab,Amritsar,2001,Kharif,Groundnut,2399.8,3409.7
Punjab,Amritsar,2008,Kharif,Tur,5073.6,4532.6
Tamil Nadu,Salem,2002,Rabi,Jowar,2720.6,2201.0
Maharashtra,Nashik,2003,Kharif,Bajra,1254.2,1498.6
Punjab,Amritsar,2001,Whole Year,Potato,1376.2,35944.6
West Bengal,Bardhaman,2009,Kharif,Rice,1409.6,4459.6
Tamil Nadu,Salem,2002,Kharif,Bajra,1301.7,1114.1
Haryana,Hisar,2013,Rabi,Mustard,3373.2,4462.7
Madhya Pradesh,Bhopal,2004,Rabi,Potato,2936.1,73868.9
Karnataka,Mysore,2002,Rabi,Groundnut,1856.0,2897.3
Uttar Pradesh,Meerut,2007,Rabi,Maize,6295.7,15354.0
Maharashtra,Nashik,2009,Kharif,Soyabean,4269.9,7358.7
Haryana,Rohtak,2006,Kharif,Groundnut,651.3,942.1
Karnataka,Hassan,2014,Kharif,Tur,933.3,616.6
Punjab,Patiala,2001,Kharif,Rice,5126.6,13414.7
Maharashtra,Nashik,2009,Rabi,Maize,3015.0,9033.3
West Bengal,Hooghly,2008,Rabi,Onion,1807.5,33293.9
Maharashtra,Nashik,2007,Kharif,Bajra,4869.1,7042.1
Bihar,Bhagalpur,2012,Rabi,Groundnut,797.4,967.6
Punjab,Patiala,2003,Kharif,Soyabean,5030.5,4847.5
Maharashtra,Pune,2012,Kharif,Groundnut,1716.1,2703.0
Punjab,Ludhiana,2012,Rabi,Groundnut,1994.8,2384.6
Karnataka,Hassan,2004,Kharif,Onion,4861.8,80245.6
Punjab,Amritsar,2007,Kharif,Tur,1161.4,1255.4
Bihar,Gaya,2008,Kharif,Tur,2410.6,2149.6
Punjab,Amritsar,2008,Kharif,Groundnut,2001.1,2466.4
Punjab,Amritsar,2011,Rabi,Wheat,1542.9,5595.0
